Name,Started,Ended,Crest,Notes
Melbourne Battalion,1958,2004,"Yellow SW5 Tram (834) on Navy Blue. ""MELBOURNE BATTALION""",
Southern Battalion,1974,2004,,
North Western Region,2011,,,
Southern Region,2011,,"Stylised ""SB"" in silver, set amongst the Southern Cross",
Eastern Region,2011,,,
Latrobe Valley Group Council,1973,1973,,
Gippsland Group Council,1974,1974,,
Melbourne Officers' Council,1940,?,,
Melbourne Officers' Group,?,1957,,
Victorian State Council,1961,,,
South East District,1970,1974,,
North East District,1970,?,,
North West District,1970,?,,
Northern District,1973,1974,,
